"AMT","Monetary Amount Information"
"BHT","Beginning of Hierarchical Transaction"
"DMG","Demographic Information"
"DTP","Date or Time or Period"
"EQ","Eligibility or Benefit Inquiry"
"HI","Health Care Information Codes"
"HL","Hierarchical Level"
"III","Information"
"INS","Insured Benefit"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"PDP","Property Description - Personal"
"PDR","Property Description - Real"
"PER","Administrative Communications Contact"
"PRV","Provider Information"
"REF","Reference Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"TRN","Trace"
"VEH","Vehicle Information"
