"AAA","Request Validation"
"AMT","Monetary Amount Information"
"BHT","Beginning of Hierarchical Transaction"
"DMG","Demographic Information"
"DTP","Date or Time or Period"
"EB","Eligibility or Benefit Information"
"EM","Equipment Characteristics"
"HI","Health Care Information Codes"
"HL","Hierarchical Level"
"HSD","Health Care Services Delivery"
"III","Information"
"INS","Insured Benefit"
"LE","Loop Trailer"
"LIN","Item Identification"
"LQ","Industry Code Identification"
"LS","Loop Header"
"MPI","Military Personnel Information"
"MSG","Message Text"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"PCT","Percent Amounts"
"PDP","Property Description - Personal"
"PDR","Property Description - Real"
"PER","Administrative Communications Contact"
"PID","Product/Item Description"
"PKD","Packaging Description"
"PRV","Provider Information"
"REF","Reference Information"
"SD1","Safety Data"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"TRN","Trace"
"VEH","Vehicle Information"
