"ACT","Account Identification"
"AD1","Adjustment Amount"
"AMT","Monetary Amount Information"
"BEN","Beneficiary or Owner Information"
"BGN","Beginning Segment"
"COB","Coordination of Benefits"
"DMG","Demographic Information"
"DSB","Disability Information"
"DTP","Date or Time or Period"
"EC","Employment Class"
"FC","Financial Contribution"
"FSA","Flexible Spending Account"
"HD","Health Coverage"
"HI","Health Care Information Codes"
"HLH","Health Information"
"ICM","Individual Income"
"IDC","Identification Card"
"INS","Insured Benefit"
"INV","Investment Vehicle Selection"
"K3","File Information"
"LC","Life Coverage"
"LE","Loop Trailer"
"LS","Loop Header"
"LUI","Language Use"
"LX","Transaction Set Line Number"
"N1","Party Identification"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NX1","Property or Entity Identification"
"PER","Administrative Communications Contact"
"PLA","Place or Location"
"PM","Electronic Funds Transfer Information"
"PRV","Provider Information"
"QTY","Quantity Information"
"REF","Reference Information"
"REL","Relationship"
"RP","Retirement Product"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
