"BGN","Beginning Segment"
"BIN","Binary Data Segment"
"CAT","Category of Patient Information Service"
"DTP","Date or Time or Period"
"EFI","Electronic Format Identification"
"LX","Transaction Set Line Number"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NX1","Property or Entity Identification"
"PER","Administrative Communications Contact"
"PRV","Provider Information"
"REF","Reference Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"STC","Status Information"
"TRN","Trace"
