"AMT","Monetary Amount Information"
"BHT","Beginning of Hierarchical Transaction"
"DMG","Demographic Information"
"DTP","Date or Time or Period"
"HL","Hierarchical Level"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"PAT","Patient Information"
"PER","Administrative Communications Contact"
"REF","Reference Information"
"SBR","Subscriber Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"SVC","Service Information"
"TRN","Trace"
