"A","278-A1","","","","","","","","","","","4256","","It is required that separate transaction sets be used for different patients."
"B","278-A1","1","0100","","","","","","","1","0100","4257","","Use this segment to indicate the start of a health care services review request transaction set with all of the supporting detail information.  This transaction set is the electronic equivalent of a phone, fax, or paper-based utilization management request."
"B","278-A1","1","0100","","","","","","","1","0100","4260","E","ST*278*0001*005010X217~"
"B","278-A1","1","0100","","","","","","","1","0100","","A","Transaction Set Header"
"C","278-A1","1","0100","ST","01","","","","","1","0100","","F","Transaction Set Identifier Code"
"C","278-A1","1","0100","ST","02","","","","","1","0100","4513","","The Transaction Set Control Numbers in ST02 and SE02 must be identical. The number is assigned by the originator and must be unique within a functional group (GS-GE). For example, start with the number 0001 and increment from there. The number also aids in error resolution research. Use the corresponding value in SE02 for this transaction set."
"C","278-A1","1","0100","ST","02","","","","","1","0100","","F","Transaction Set Control Number"
"C","278-A1","1","0100","ST","03","","","","","1","0100","4894","","This element must be populated with the guide identifier named in Section 1.2."
"C","278-A1","1","0100","ST","03","","","","","1","0100","4895","","This field contains the same value as GS08. Some translator products strip off the ISA and GS segments prior to application (STSE) processing. Providing the information from the GS08 at this level will ensure that the appropriate application mapping is utilized at translation time."
"C","278-A1","1","0100","ST","03","","","","","1","0100","","F","Implementation Guide Version Name"
"B","278-A1","1","0200","","","","","","","1","0200","4261","E","BHT*0007*13*200300114000001*20030101*1400~"
"B","278-A1","1","0200","","","","","","","1","0200","","A","Beginning of Hierarchical Transaction"
"C","278-A1","1","0200","BHT","01","","","","","1","0200","","F","Hierarchical Structure Code"
"C","278-A1","1","0200","BHT","02","","","","","1","0200","","F","Transaction Set Purpose Code"
"E","278-A1","1","0200","BHT","02","","","353","01","1","0200","4785","","Use this code to cancel a previously submitted 278 transaction. Only 278 transactions that used a BHT06 code of ""RU"" can be canceled. The cancellation 278 transaction must contain the same BHT06 code as the previously submitted 278 transaction."
"E","278-A1","1","0200","BHT","02","","","353","36","1","0200","4784","","Use this code for medical services reservations to reserve or deduct a service with the health plan. BHT06 must be equal to ""RU""."
"C","278-A1","1","0200","BHT","03","","","","","1","0200","4390","","Use this element to trace the transaction from one point to the next point, such as when the transaction is passed from one clearinghouse to another clearinghouse. This identifier must be returned in the corresponding 278 response transaction's BHT03. This identifier will only be returned by the last entity to handle the 278. This identifier will not be passed through the complete life of the transaction. All recipients of 278 request transactions are required to return the Submitter Transaction Identifier in their 278 response if one is submitted."
"C","278-A1","1","0200","BHT","03","","","","","1","0200","","F","Submitter Transaction Identifier"
"C","278-A1","1","0200","BHT","04","","","","","1","0200","","F","Transaction Set Creation Date"
"C","278-A1","1","0200","BHT","05","","","","","1","0200","","F","Transaction Set Creation Time"
"C","278-A1","1","0200","BHT","06","","","","","1","0200","4786","D","Required when requesting Medical Services Reservation. If not required by this implementation guide, do not send."
"C","278-A1","1","0200","BHT","06","","","","","1","0200","","F","Transaction Type Code"
"B","278-A1","2","0100","","","","","","","2","0100","4262","E","HL*1**20*1~"
"B","278-A1","2","0100","","","","","","","2","0100","4291","A","Utilization Management Organization (UMO) Level"
"B","278-A1","2","0100","","","","","","","2","0100","4473","","This segment indicates the information source hierarchical level. For a request transaction, this segment corresponds to the identification of the payer, HMO, or other utilization management organization who will be the source of the decision/response."
"C","278-A1","2","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A1","2","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A1","2","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A1","2","1700","","","","","","","2","1700","4263","E","NM1*X3*2*ABC PAYER*****46*123450000~"
"B","278-A1","2","1700","","","","","","","2","1700","4292","A","Utilization Management Organization (UMO) Name"
"B","278-A1","2","1700","","","","","","","2","1700","4678","","This segment identifies the source of information. In the case of a request transaction, the source of information would normally be the payer or utilization review organization making the decision on the request."
"C","278-A1","2","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"E","278-A1","2","1700","NM1","01","","","98","PR","2","1700","4679","","Use only when the organization receiving the request is a health plan but is not the entity rendering the medical decision, as in plan to plan communication or communication from the health plan to the medical review organization."
"C","278-A1","2","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"E","278-A1","2","1700","NM1","02","","","1065","1","2","1700","4293","","Use this code only if the reviewing entity is an individual, such as an individual primary care physician."
"C","278-A1","2","1700","NM1","03","","","","","2","1700","4744","D","Required when name information is needed to identify the UMO. If not required by this implementation guide, do not send."
"C","278-A1","2","1700","NM1","03","","","","","2","1700","","F","Utilization Management Organization (UMO) Last or Organization Name"
"C","278-A1","2","1700","NM1","04","","","","","2","1700","4680","D","Required when NM103 is valued and the reviewing entity is an individual (NM102 = 1), such as a primary care provider. If not required by this implementation guide, do not send."
"C","278-A1","2","1700","NM1","04","","","","","2","1700","","F","Utilization Management Organization (UMO) First Name"
"C","278-A1","2","1700","NM1","05","","","","","2","1700","4688","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-A1","2","1700","NM1","05","","","","","2","1700","","F","Utilization Management Organization (UMO) Middle Name"
"C","278-A1","2","1700","NM1","07","","","","","2","1700","4681","D","Required when NM104 is present and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
