"A","278-B1","","","","","","","","","","","3091","","It is required that separate transaction sets be used for different patients."
"B","278-B1","1","0100","","","","","","","1","0100","3092","","Use this segment to indicate the start of a health care services review notification or information copy transaction set with all of the supporting detail information. This transaction set is the electronic equivalent of a phone, fax, or paper-based notification or information copy."
"B","278-B1","1","0100","","","","","","","1","0100","3096","E","ST*278*0001*005010X216~"
"B","278-B1","1","0100","","","","","","","1","0100","","A","Transaction Set Header"
"C","278-B1","1","0100","ST","01","","","","","1","0100","","F","Transaction Set Identifier Code"
"C","278-B1","1","0100","ST","02","","","","","1","0100","3279","","The Transaction Set Control Numbers in ST02 and SE02 must be identical. The number is assigned by the originator and must be unique within a functional group (GS-GE). For example, start with the number 0001 and increment from there. The number also aids in error resolution research. Use the corresponding value in SE02 for this transaction set."
"C","278-B1","1","0100","ST","02","","","","","1","0100","","F","Transaction Set Control Number"
"C","278-B1","1","0100","ST","03","","","","","1","0100","3749","","This element must be populated with the guide identifier named in Section 1.2."
"C","278-B1","1","0100","ST","03","","","","","1","0100","3750","","This field contains the same value as GS08. Some translator products strip off the ISA and GS segments prior to application (STSE) processing. Providing the information from the GS08 at this level will ensure that the appropriate application mapping is utilized at translation time."
"C","278-B1","1","0100","ST","03","","","","","1","0100","","F","Implementation Guide Version Name"
"B","278-B1","1","0200","","","","","","","1","0200","3097","E","BHT*0007*14*199800114000001*20050101*1400~"
"B","278-B1","1","0200","","","","","","","1","0200","","A","Beginning of Hierarchical Transaction"
"C","278-B1","1","0200","BHT","01","","","","","1","0200","","F","Hierarchical Structure Code"
"C","278-B1","1","0200","BHT","02","","","","","1","0200","","F","Transaction Set Purpose Code"
"E","278-B1","1","0200","BHT","02","","","353","14","1","0200","3334","","Use for administrative notification (provider to payer) of admissions, referrals, pre-certifications of future events. For example, use for notification of authorization to admit a patient, notification of authorization to refer a patient, notification of authorization for pre-certification of services."
"E","278-B1","1","0200","BHT","02","","","353","22","1","0200","3336","","Use for courtesy copy of notification. For example, use to send copies of health care service review decision outcomes from a delegated entity, PCP, or UMO to the service provider."
