"AAA","Request Validation"
"BHT","Beginning of Hierarchical Transaction"
"CL1","Claim Codes"
"CR1","Ambulance Certification"
"CR2","Chiropractic Certification"
"CR4","Enteral or Parenteral Therapy Certification"
"CR5","Oxygen Therapy Certification"
"CR6","Home Health Care Certification"
"CR7","Home Health Treatment Plan Certification"
"CR8","Pacemaker Certification"
"CRC","Conditions Indicator"
"DMG","Demographic Information"
"DTP","Date or Time or Period"
"HCR","Health Care Services Review"
"HI","Health Care Information Codes"
"HL","Hierarchical Level"
"HSD","Health Care Services Delivery"
"INS","Insured Benefit"
"MSG","Message Text"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"PER","Administrative Communications Contact"
"PRV","Provider Information"
"PWK","Paperwork"
"REF","Reference Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"SV1","Professional Service"
"SV2","Institutional Service"
"SV3","Dental Service"
"TOO","Tooth Identification"
"TRN","Trace"
"UM","Health Care Services Review Information"
