"ADX","Adjustment"
"BPR","Beginning Segment for Payment Order/Remittance Advice"
"CUR","Currency"
"DTM","Date/Time Reference"
"ENT","Entity"
"IT1","Baseline Item Data (Invoice)"
"N1","Party Identification"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NTE","Note/Special Instruction"
"PER","Administrative Communications Contact"
"RDM","Remittance Delivery Method"
"REF","Reference Information"
"RMR","Remittance Advice Accounts Receivable Open Item Reference"
"SAC","Service, Promotion, Allowance, or Charge Information"
"SE","Transaction Set Trailer"
"SLN","Subline Item Detail"
"ST","Transaction Set Header"
"TRN","Trace"
