"AMT","Monetary Amount Information"
"BPR","Beginning Segment for Payment Order/Remittance Advice"
"CAS","Claims Adjustment"
"CLP","Claim Level Data"
"CUR","Currency"
"DTM","Date/Time Reference"
"LQ","Industry Code Identification"
"LX","Transaction Set Line Number"
"MIA","Medicare Inpatient Adjudication"
"MOA","Medicare Outpatient Adjudication"
"N1","Party Identification"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NTE","Note/Special Instruction"
"PER","Administrative Communications Contact"
"PLB","Provider Level Adjustment"
"QTY","Quantity Information"
"RDM","Remittance Delivery Method"
"REF","Reference Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"SVC","Service Information"
"TRN","Trace"
"TS2","Transaction Supplemental Statistics"
"TS3","Transaction Statistics"
