"AMT","Monetary Amount Information"
"BHT","Beginning of Hierarchical Transaction"
"CAS","Claims Adjustment"
"CLM","Health Claim"
"CN1","Contract Information"
"CR1","Ambulance Certification"
"CR2","Chiropractic Certification"
"CR3","Durable Medical Equipment Certification"
"CRC","Conditions Indicator"
"CTP","Pricing Information"
"CUR","Currency"
"DMG","Demographic Information"
"DTP","Date or Time or Period"
"HCP","Health Care Pricing"
"HI","Health Care Information Codes"
"HL","Hierarchical Level"
"K3","File Information"
"LIN","Item Identification"
"LX","Transaction Set Line Number"
"MEA","Measurements"
"MOA","Medicare Outpatient Adjudication"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NTE","Note/Special Instruction"
"PAT","Patient Information"
"PER","Administrative Communications Contact"
"PRV","Provider Information"
"PS1","Purchase Service"
"PWK","Paperwork"
"QTY","Quantity Information"
"REF","Reference Information"
"SBR","Subscriber Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"SV1","Professional Service"
"SVD","Service Line Adjudication"
