Software ID,Partition,Client / Split Code,Client Name,Facility,Facility Code,Default Perf Dr,Acct Num Alpha,Date Range,Is Default
308,FPS,ALE,Lewis Gale Alleghany,ALE,FQ,FC11,FQ,20210401,1
330,FPS,ALX,Lewis Gale Alleghany,ALX,FQ,FC11,FQ,20260305,1
400,NTX,ANC,Alliance Medical Center,ANC,TP,TC8,TP,20230911,1
651,NGP,AP,NextGen Pathology,SEP,NG,,NG,20250712,
651,NGP,AP,NextGen Pathology,STP,NB,,NB,20250712,1
800,ARA,ARA,Travelers,AHS,BA,,COP,20250101,
800,ARA,ARA,Travelers,ALI,AA,,AHS,20250101,1
801,ARA,ARA,Ariana,ADS,DA,,ASL,20250101,
801,ARA,ARA,Ariana,ADT,CA,,APP,20250101,
801,ARA,ARA,Ariana,AND,EA,,ECA,20250101,
801,ARA,ARA,Ariana,ANG,GA,,ARD,20250101,
801,ARA,ARA,Ariana,ARA,AR,,AR,20250101,1
801,ARA,ARA,Ariana,ARG,FA,,PAI,20250101,
801,ARA,ARA,Ariana,ARI,HH,,PBP,20250101,
801,ARA,ARA,Ariana,EAC,EB,,ECA,20250101,
801,ARA,ARA,Ariana,EAS,DB,,ASL,20250101,
801,ARA,ARA,Ariana,EAT,FB,,PAI,20250101,
801,ARA,ARA,Ariana,ECP,HJ,,PBP,20250101,
801,ARA,ARA,Ariana,PAL,CB,,APP,20250101,
801,ARA,ARA,Ariana,PBE,DC,,ASL,20250101,
801,ARA,ARA,Ariana,PLB,HG,,PBP,20250101,
801,ARA,ARA,Ariana,PPT,FC,,PAI,20250101,
403,NTX,ARL,Med Ctr of Arlington,ARL,TR,TC10,TR,20240212,1
250,IRL,AUG,Drs of Augusta,AUG,SK,SC6,SK,20170625,1
256,CON,AUR,Aurora,AUR,CD,CC2,CD,20181001,1
120,IRL,AVE,IRL Aventura Hospital,AVE,HA,31,L,20150930,1
120,IRL,AVE,IRL Aventura Hospital,AVF,JH,1,JH,20150930,
171,IRL,BAY,Bayonet Point,BAY,WH,WC13,WH,20141101,1
265,MID,BEL,Belton,BEL,MA,MC1,MA,20180101,1
172,IRL,BLA,Blake,BLA,WJ,WC6,WJ,20141201,1
508,APS,BRB,Crystal Rivers,BRB,HI,AC2,HI,20230801,1
206,IRL,BRN,Brandon,BRE,WR,WC11,WR,20151006,
206,IRL,BRN,Brandon,BRN,WQ,WC11,WQ,20151006,1
206,IRL,BRN,Brandon,BRO,XB,WC12,XB,20151006,
206,IRL,BRN,Brandon,TEM,WX,WC11,WX,20151006,
